"ORDEN_V"	"CPRO"	"CMUN"	"TIPO_VIV"	"TENEN_VIV"	"RT_imp"	"SUPERF"	"PLANTAS_sr"	"PLANTAS_br"	"TIPO_EDIF"	"ANOCO"	"TAM_HOG_5"
8861	29	075	1	2	0	89	2	0	1	1970	2
8882	29	094	0			99	10	0	3	1970	
8942	29	991	1	2	1	216	2	0	1	1967	1
9000	29	025	0			87	10	0	3	2003	
9014	29	067	0			75	10	0	3	1975	
9015	29	094	1	2	1	98	5	0	3	1981	4
9076	29	067	1	2	0	50	6	0	3	1974	1
9091	29	069	1	2	1	64	4	0	3	2000	3
9142	29	091	0			75	1	0	1		
9144	29	067	1	2	0	143	1	0	1	1987	3
9156	29	075	0			35	5	1	3	1986	
9207	29	012	0			121	1	0	1	2006	
9213	29	992	0			55	1	0	1		
9214	29	070	0			106	4	0	3	2007	
9224	29	067	1	2	0	65	10	0	3	1978	3
9228	29	082	1	2	0	71	3	0	3	1983	2
9233	29	007	1	2	0	55	1	0	1	1991	4
9253	29	015	1	2	0	76	4	0	3	1985	4
9254	29	992	1	2	1	77	3	0	3	2001	1
9257	29	992	0			58	2	0	2	1962	
9267	29	067	0			58	4	0	3	1946	
9311	29	067	1	2	0	48	5	0	3	1962	1
9351	29	094	0			30	7	0	3	1975	
9353	29	067	1	2	0	90	10	0	3	1978	2
9387	29	042	0			94	1	0	3	1940	
9425	29	992	0			111	1	0	1		
9445	29	067	1	2	0	115	8	0	3	1978	5
9459	29	051	0			75	1	0	3	1982	
9464	29	091	0			60	4	0	3	2003	
9472	29	901	1	3	1	44	10	0	3	1973	1
9494	29	070	1	2	1	31	1	0	3	2005	3
9505	29	070	1	2	0	76	4	0	3	2004	3
9511	29	067	0			87	8	0	3	2005	
9555	29	008	1	2	1	71	3	0	3	2007	2
9576	29	025	0			63	4	0	3	1991	
9578	29	025	1	3	0	68	5	0	3	1989	3
9617	29	992	1	3	1	103	1	0	1	1965	2
9623	29	054	1	4	0	83	4	0	3	1985	1
9642	29	094	1	4	1	55	4	0	3	1987	3
9658	29	067	1	2	1	87	10	0	3	1975	5
9660	29	054	0			70	10	0	3	1984	
9672	29	993	1	2	0	70	3	0	3	2003	4
9679	29	094	1	2	0	78	4	0	3	2003	2
9731	29	069	1	2	0	80	5	0	3	2001	4
9773	29	070	1	2	0	42	2	0	3	1960	5
9786	29	067	1	3	1	79	4	0	3	2004	2
9922	29	007	1	2	0	98	3	0	3	2006	4
9934	29	991	1	2	0	31	1	0	1	1932	4
9937	29	992	0			125	4	1	3	2004	
9954	29	067	1	2	0	97	8	0	3	1969	1
9957	29	067	1	4	0	50	10	0	3	1966	3
9971	29	992	1	2	0	107	1	0	1		4
9983	29	015	1	2	1				4		3
9997	29	901	1	2	0	55	6	0	3	1962	2
9998	29	025	1	2	0	69	4	0	3	2006	3
10016	29	054	1	2	1	38	5	0	3	2004	1
10072	29	051	1	2	0	91	1	0	1	1975	5
10076	29	094	0			66	2	0	3	2009	
10096	29	901	1	2	0	60	8	0	3	1984	1
10115	29	068	0			120	1	0	1		
10155	29	067	1	2	0	88	6	0	3	1989	2
10207	29	094	0			81	3	0	3	2008	
10232	29	993	1	2	0	150	1	0	1	2007	4
10290	29	068	0			60	6	0	3	1985	
10295	29	992	0			92	3	0		2016	
10336	29	070	0			75	4	0	3	2003	
10369	29	067	1	2	0	38	5	0	3	1964	1
10380	29	991	1	4	1	111	1	0	1	1954	2
10391	29	992	0			70	1	0	1	1900	
10414	29	051	1	4	0	63	8	0	3	1979	4
10415	29	051	0			100	4	0	3	2004	
10426	29	094	1	2	0	98	5	1	3	1980	5
10470	29	069	1	3	1	86	9	0	3	2002	2
10472	29	067	1	2	0	79	7	0	3	2005	4
10495	29	993	1	2	0	81	3	0	3	1986	4
10501	29	054	0			28	3	0	3	2005	
10525	29	067	0			114	2	0	3	2019	
10529	29	094	1	2	0	90	5	0	3	1977	1
10554	29	082	1	2	0	44	6	0	3	2003	2
10563	29	015	0			138	2	0	1	1950	
10574	29	069	0			90	1	0	3	1998	
10583	29	082	1	2	1				4		4
10627	29	042	1	2	0	66	1	0	1	2006	2
10644	29	082	1	2	1	81	5	0	3	2001	4
10706	29	067	1	2	0	157	1	0	3	1985	2
10712	29	991	1	2	1	95	1	0	1	1961	2
10728	29	067	1	3	1	70	10	0	3	1965	3
10747	29	068	1	2	0	115	1	0	1	1986	2
10785	29	069	0			67	7	0	3	2001	
10845	29	991	0			34	1	0	2	1960	
10852	29	901	1	2	1	38	9	0	3	1973	1
10861	29	015	1	2	0	100	2	0	1	2009	1
10885	29	067	1	3	1	49	9	0	3	1974	1
10895	29	094	1	2	0	90	2	0	1	2019	1
10899	29	993	0			105	3	0	3	2007	
10903	29	067	1	3	1	40	3	0	3	1966	2
10906	29	070	1	2	0	120	1	0	1	2003	2
10925	29	067	1	2	0	74	5	1	3	2008	3
10949	29	067	0			67	5	0	3	1965	
11001	29	075	0			93	2	0	3	1977	
11005	29	993	1	2	0	85	1	0	1	1970	2
11054	29	993	1	2	0	31	1	0	1	1958	2
11079	29	067	1	2	0	41	2	0	1	1972	3
11099	29	084	1	2	0	64	5	0	3	1979	5
11120	29	068	1	2	0	65	6	0	3	2005	4
11137	29	094	1	3	1	85	6	0	3	1976	2
11138	29	067	1	2	0	101	10	0	3	1981	5
11168	29	042	0			123	1	1	1	2005	
11285	29	094	0			99	1	0	1	1981	
11287	29	991	0			47	1	0	1		
11311	29	067	1	4	1	73	10	0	3	1977	1
11319	29	070	1	2	0	60	3	0	3	2007	2
11329	29	082	1	2	0	75	1	0	3	1987	3
11333	29	901	1	2	0	65	4	0	3	1973	5
11345	29	991	0			133	1	0	1		
11364	29	901	0			45	10	0	3	1978	
11391	29	070	1	2	0	133	2	0	1	1985	1
11459	29	069	1	2	0	249	1	0	2	1979	5
11490	29	007	1	2	0	56	3	0	3	1992	4
11555	29	038	1	2	1	86	2	0	1	2007	2
11563	29	991	1	2	0	202	1	0	1	1962	2
11571	29	042	1	4	1	103	1	0	2	1987	4
11576	29	042	0			54	1	0	1	1999	
11639	29	008	0			91	4	1	3	2003	
11640	29	067	1	3	0	77	1	0	3	1989	5
11664	29	051	1	2	0	87	6	2	3	2004	3
11666	29	992	0			103	1	0	1	2000	
11675	29	007	0			98	3	0	3	2007	
11749	29	091	0			36	10	0	3	1975	
11790	29	069	1	2	1	72	10	0	3	2002	3
11812	29	042	1	2	0	111	1	0	1	1968	2
11848	29	007	0			134	1	0	1	1982	
11882	29	008	1	2	1	68	1	0	1	1995	2
11886	29	084	0			50	1	0	1		
11897	29	007	1	2	0	83	1	0	1	1988	4
11916	29	054	1	2	1	69	10	0	3	1969	3
11919	29	067	1	2	0	120	3	0	3	2004	2
11931	29	067	1	3	1	65	10	2	3	1975	3
11934	29	094	1	2	0	107	2	0	3	1990	2
12016	29	992	0			194	1	0	1		
12038	29	070	0			55	3	0	3	2002	
12086	29	067	1	2	0	41	5	0	3	1965	2
12103	29	070	0			36	2	0	3	1972	
12114	29	054	1	3	1	57	4	1	3	2006	3
12144	29	067	1	2	1	54	9	0	3	1974	1
12149	29	069	0			245	1	0	1	1972	
12162	29	067	1	2	0	56	6	0	3	1972	3
12185	29	067	1	2	0	152	9	0	3	1963	2
12214	29	082	1	2	0	70	6	0	3	2000	3
12232	29	025	0			38	2	0	3	1960	
12258	29	069	0			109	5	0	3	2005	
12263	29	067	1	2	0	60	4	0	3	1966	3
12278	29	054	0			43	7	1	3	1985	
12287	29	067	1	3	1	65	10	0	3	1974	1
12336	29	067	1	4	0	40	9	0	3	1965	1
12373	29	094	1	2	1	56	4	0	3	1996	3
12396	29	094	1	2	1	81	3	0	3	2003	4
12409	29	069	0			78	5	0	3	2005	
12411	29	070	0			157	2	0	1	1985	
12420	29	067	1	2	0	77	9	0	3	1982	1
12423	29	901	1	2	1	36	10	2	3	1980	1
12453	29	067	1	3	1	38	3	0	3	2007	1
12498	29	075	1	2	0	64	4	0	3	1970	3
12501	29	069	1	2	0	172	4	0	3	2007	2
12592	29	082	1	2	0	82	5	0	3	1985	1
12641	29	025	1	3	1	45	7	0	3	1972	1
12700	29	054	1	2	1	64	7	0	3	1972	2
12739	29	084	1	3	0	56	4	0	3	1993	4
12743	29	067	0			186	1	0	2	1950	
12769	29	067	1	2	0	60	5	0	3	1965	1
12798	29	025	1	3	1	21	10	1	3	1975	1
12821	29	067	1	3	1	68	8	0	3	1975	1
12875	29	051	0			101	5	0	3	2003	
12910	29	094	1	2	0	80	5	0	3	1977	4
12924	29	091	0			64	10	0	3	1970	
13033	29	991	0			43	1	0	3		
13059	29	993	1	2	0	48	1	0	1	1967	2
13069	29	067	1	2	1	52	5	0	3	1990	1
13090	29	025	1	2	0	64	1	0	3	1982	1
13091	29	070	0			75	1	0	1	1986	
13101	29	067	1	2	0	77	10	0	3	1974	2
13126	29	067	0			85	6	0	3	1990	
13213	29	069	1	2	0	94	3	0	1	1999	3
13226	29	015	1	2	0	74	5	0	3	1995	1
13231	29	012	1	2	0	90	1	0	1	2000	4
13261	29	042	1	2	1	109	1	0	1	1955	1
13314	29	069	1	2	1	111	6	0	3	2004	1
13329	29	051	0			41	10	0	3	1967	
13331	29	067	1	2	0	73	10	0	3	1974	2
13391	29	094	1	2	1	77	7	0	3	1982	1
13464	29	067	1	2	0	80	9	0	3	1971	3
13471	29	991	0			30	3	1	2	1950	
13492	29	991	0			46	2	0	1	1900	
13493	29	070	1	2	1	59	4	0	3	2004	1
13498	29	054	0			71	8	0	3	1985	
13507	29	069	0			78	5	0	3	2017	
13585	29	067	1	4	1	123	1	0	1	1982	5
13618	29	992	0			76	3	0	3	1987	
13639	29	069	0			121	4	0	3	1994	
13646	29	042	1	2	0	68	4	0	3	1975	1
13689	29	051	1	2	0	59	5	0	3	1968	2
13699	29	070	1	2	0	260	1	0	1	1989	2
13727	29	007	1	2	0	89	1	0	1	2000	5
13731	29	067	1	2	0	83	1	0	1	1999	4
13742	29	067	1	2	0	99	7	0	3	2002	4
13749	29	993	0			35	1	0	1	2000	
13750	29	992	0			96	1	0	3	1950	
13782	29	991	0			76	1	0	1	1949	
13789	29	075	0			62	1	0	1	1987	
13806	29	067	1	2	1	82	8	0	3	1977	1
13814	29	992	1	2	0	87	1	0	2	1981	2
13815	29	025	0			36	10	0	3	1985	
13821	29	993	0			30	1	0	1	1910	
13826	29	069	0			191	1	0	1	1969	
13863	29	082	1	2	0	88	5	0	3	1990	4
13916	29	992	1	2	1	65	1	0	1	2008	3
14011	29	025	1	2	1	467	1	1	1	2020	4
14012	29	992	1	2	0	175	3	0	1	1992	3
14016	29	993	0			177	3	0	3	2019	
14032	29	069	0			45	9	1	3	1976	
14080	29	067	1	2	0	63	10	0	3	1973	1
14088	29	992	0			119	3	0	3	2002	
14093	29	067	1	2	1	58	4	0	3	1946	1
14094	29	993	1	2	1	125	2	0	3	2005	3
